Sorting Algorithm, Size, Swaps, Comparisons, Function Calls, Time Taken
Merge Sort, 1000, 9976, 8727, 2998, 0.000000
Merge Sort, 2000, 21952, 19445, 5998, 0.001000
Merge Sort, 3000, 34904, 30972, 8998, 0.001000
Merge Sort, 4000, 47904, 42886, 11998, 0.003000
Merge Sort, 5000, 61808, 55269, 14998, 0.003000
Merge Sort, 6000, 75808, 67903, 17998, 0.002000
Merge Sort, 7000, 89808, 80710, 20998, 0.005000
Merge Sort, 8000, 103808, 93732, 23998, 0.005000
Merge Sort, 9000, 118616, 107032, 26998, 0.004000
Merge Sort, 10000, 133616, 120530, 29998, 0.006000
Quick Sort, 1000, 5060, 11226, 1990, 0.000000
Quick Sort, 2000, 12170, 26550, 4471, 0.000000
Quick Sort, 3000, 17744, 43682, 7258, 0.000000
Quick Sort, 4000, 26741, 64342, 10117, 0.001000
Quick Sort, 5000, 31774, 88044, 13054, 0.001000
Quick Sort, 6000, 40238, 111284, 16009, 0.002000
Quick Sort, 7000, 45251, 137563, 18937, 0.002000
Quick Sort, 8000, 49257, 162389, 21880, 0.002000
Quick Sort, 9000, 52462, 185817, 24775, 0.003000
Quick Sort, 10000, 69361, 222955, 27742, 0.003000
