Sorting Algorithm, Size, Swaps, Comparisons, Function Calls, Time Taken
Quick Sort, 1000, 4708, 13638, 2425, 0.000000
Quick Sort, 2000, 11069, 32150, 5398, 0.001000
Quick Sort, 3000, 16346, 56334, 8398, 0.000000
Quick Sort, 4000, 21745, 85435, 11398, 0.001000
Quick Sort, 5000, 29521, 124236, 14398, 0.001000
Quick Sort, 6000, 31037, 161481, 17398, 0.001000
Quick Sort, 7000, 38302, 205618, 20398, 0.002000
Quick Sort, 8000, 42718, 253819, 23398, 0.002000
Quick Sort, 9000, 45061, 308862, 26398, 0.004000
Quick Sort, 10000, 55080, 378358, 29398, 0.003000
